id,question,bert_precision,bert_recall,bert_F1
1,"What does the ""yield"" keyword do in Python?",0.8031,0.8049,0.804
2,"What does if __name__ == ""__main__"": do?",0.8248,0.8288,0.8268
3,Does Python have a ternary conditional operator?,0.8193,0.8273,0.8233
4,What are metaclasses in Python?,0.8342,0.8192,0.8266
5,How do I check whether a file exists without exceptions?,0.8444,0.8246,0.8344
6,How do I merge two dictionaries in a single expression in Python?,0.8525,0.8436,0.848
7,How do I execute a program or call a system command?,0.8579,0.7922,0.8238
8,"How do I create a directory, and any missing parent directories?",0.8428,0.8216,0.8321
9,How can I access the index value in a 'for' loop?,0.8544,0.7761,0.8134
10,How do I make a flat list out of a list of lists?,0.8145,0.8255,0.82
11,What is the difference between @staticmethod and @classmethod in Python?,0.8253,0.8188,0.8221
12,How slicing in Python works,0.8281,0.8079,0.8179
13,How can I find the index for a given item in a list?,0.8254,0.8286,0.827
14,"Iterating over a dictionary using a 'for' loop, getting keys",0.843,0.7992,0.8205
15,How can I iterate over rows in a Pandas DataFrame?,0.8469,0.8279,0.8373
16,How can I use a global variable in a function?,0.8498,0.8004,0.8244
17,How do I get the current time in Python?,0.8287,0.7948,0.8114
18,"How can I catch multiple exceptions in one line? (in the ""except"" block)",0.824,0.7792,0.801
19,How do I copy a file?,0.8502,0.8047,0.8268
20,What is __init__.py for?,0.8548,0.8124,0.8331
21,Convert bytes to a string in Python 3,0.8603,0.7778,0.817
22,What is the difference between __str__ and __repr__?,0.808,0.8075,0.8077
23,How do I select rows from a DataFrame based on column values?,0.8156,0.7992,0.8073
24,How can I add new keys to a dictionary?,0.8599,0.8033,0.8307
25,Does Python have a string 'contains' substring method?,0.824,0.7417,0.7807
26,How can I delete a file or folder in Python?,0.859,0.773,0.8137
27,"Least Astonishment"" and the Mutable Default Argument",0.8331,0.7778,0.8045
28,What does ** (double star/asterisk) and * (star/asterisk) do for parameters?,0.8372,0.8198,0.8284
29,How do I list all files of a directory?,0.8607,0.8092,0.8342
30,How can I access environment variables in Python?,0.8766,0.8284,0.8518
31,How do I sort a dictionary by value?,0.831,0.8184,0.8247
32,How do I clone a list so that it doesn't change unexpectedly after assignment?,0.827,0.8281,0.8275
