id,question,bert_precision,bert_recall,bert_F1
1,"What does the ""yield"" keyword do in Python?",0.8272,0.8238,0.8255
2,"What does if __name__ == ""__main__"": do?",0.8322,0.8257,0.8289
3,Does Python have a ternary conditional operator?,0.8319,0.8389,0.8354
4,What are metaclasses in Python?,0.8192,0.8093,0.8142
5,How do I check whether a file exists without exceptions?,0.8523,0.8261,0.839
6,How do I merge two dictionaries in a single expression in Python?,0.8543,0.8442,0.8492
7,How do I execute a program or call a system command?,0.8529,0.7981,0.8246
8,"How do I create a directory, and any missing parent directories?",0.8421,0.8208,0.8313
9,How can I access the index value in a 'for' loop?,0.865,0.7776,0.819
10,How do I make a flat list out of a list of lists?,0.8114,0.8314,0.8212
11,What is the difference between @staticmethod and @classmethod in Python?,0.8226,0.8227,0.8227
12,How slicing in Python works,0.8307,0.8166,0.8236
13,How can I find the index for a given item in a list?,0.8311,0.8388,0.8349
14,"Iterating over a dictionary using a 'for' loop, getting keys",0.8567,0.82,0.838
15,How can I iterate over rows in a Pandas DataFrame?,0.8567,0.8373,0.8469
16,How can I use a global variable in a function?,0.8543,0.8272,0.8405
17,How do I get the current time in Python?,0.8576,0.8044,0.8302
18,"How can I catch multiple exceptions in one line? (in the ""except"" block)",0.8502,0.8274,0.8386
19,How do I copy a file?,0.8319,0.7889,0.8098
20,What is __init__.py for?,0.8622,0.8475,0.8548
21,Convert bytes to a string in Python 3,0.8639,0.7919,0.8263
22,What is the difference between __str__ and __repr__?,0.809,0.818,0.8135
23,How do I select rows from a DataFrame based on column values?,0.8268,0.8302,0.8285
24,How can I add new keys to a dictionary?,0.8677,0.799,0.832
25,Does Python have a string 'contains' substring method?,0.8412,0.7512,0.7937
26,How can I delete a file or folder in Python?,0.8639,0.7796,0.8196
27,"""Least Astonishment"" and the Mutable Default Argument",0.8309,0.7811,0.8052
28,What does ** (double star/asterisk) and * (star/asterisk) do for parameters?,0.8386,0.8215,0.8299
29,How do I list all files of a directory?,0.867,0.8227,0.8443
30,How can I access environment variables in Python?,0.8734,0.825,0.8485
31,How do I sort a dictionary by value?,0.8582,0.8319,0.8448
32,How do I clone a list so that it doesn't change unexpectedly after assignment?,0.8297,0.8301,0.8299
33,How do I pass a variable by reference?,0.8387,0.8354,0.8371
34,How do I print colored text to the terminal?,0.8235,0.8134,0.8184
35,Manually raising (throwing) an exception in Python,0.8246,0.8235,0.824
36,Understanding Python super() with __init__() methods,0.8524,0.7945,0.8225
37,How do I make a time delay?,0.8617,0.7808,0.8193
38,How do I change the size of figures drawn with Matplotlib?,0.8632,0.7922,0.8262
39,How do I concatenate two lists in Python?,0.8893,0.8213,0.8539
40,How do I check if a list is empty?,0.8803,0.7891,0.8322
41,How do I make function decorators and chain them together,0.8093,0.8085,0.8089
42,How do I split a list into equally-sized chunks?,0.8607,0.8153,0.8374
43,Find the current directory and file's directory,0.8638,0.8309,0.847
44,What is the difference between Python's list methods append and extend?,0.8693,0.817,0.8424
45,Renaming column names in Pandas,0.8313,0.8294,0.8303
46,"Why is ""1000000000000000 in range(1000000000000001)"" so fast in Python 3?",0.8317,0.8249,0.8283
47,How can I remove a key from a Python dictionary?,0.8832,0.7939,0.8362
48,"Convert string ""Jun 1 2005 1:33PM"" into datetime",0.8558,0.8079,0.8312
49,How to upgrade all Python packages with pip,0.8464,0.8185,0.8322
50,How can I sort a list of dictionaries by a value of the dictionary in Python?,0.8482,0.7844,0.815
51,How to leave/exit/deactivate a Python virtualenv,0.8423,0.7893,0.8149
52,How do I get the last element of a list?,0.8699,0.8276,0.8483
53,How do I parse a string to a float or int?,0.8268,0.7455,0.784
54,How do I install pip on Windows?,0.8357,0.8479,0.8418
55,How do I get a substring of a string in Python?,0.8361,0.776,0.805
56,How do I escape curly-brace ({}) characters characters in a string while using .format?,0.8532,0.7967,0.824
57,Check if a given key already exists in a dictionary,0.8463,0.8061,0.8257
58,Importing files from different folder,0.8469,0.8044,0.8251
