id,question,bert_precision,bert_recall,bert_F1
1,"What does the ""yield"" keyword do in Python?",0.8252,0.8221,0.8236
2,"What does if __name__ == ""__main__"": do?",0.832,0.8499,0.8409
3,Does Python have a ternary conditional operator?,0.8319,0.8311,0.8315
4,What are metaclasses in Python?,0.8288,0.8247,0.8268
5,How do I check whether a file exists without exceptions?,0.8632,0.8534,0.8582
6,How do I merge two dictionaries in a single expression in Python?,0.8499,0.8571,0.8535
7,How do I execute a program or call a system command?,0.852,0.7968,0.8234
8,"How do I create a directory, and any missing parent directories?",0.8509,0.8623,0.8566
9,How can I access the index value in a 'for' loop?,0.8704,0.8048,0.8363
10,How do I make a flat list out of a list of lists?,0.814,0.8454,0.8294
11,What is the difference between @staticmethod and @classmethod in Python?,0.8286,0.8277,0.8281
12,How slicing in Python works,0.8395,0.8258,0.8326
13,How can I find the index for a given item in a list?,0.8336,0.8436,0.8385
14,"Iterating over a dictionary using a 'for' loop, getting keys",0.8528,0.8121,0.8319
15,How can I iterate over rows in a Pandas DataFrame?,0.8567,0.841,0.8488
16,How can I use a global variable in a function?,0.8651,0.8268,0.8455
17,How do I get the current time in Python?,0.8491,0.8083,0.8282
18,"How can I catch multiple exceptions in one line? (in the ""except"" block)",0.8463,0.7972,0.821
19,How do I copy a file?,0.8649,0.8308,0.8475
20,What is __init__.py for?,0.8623,0.8129,0.8368
21,Convert bytes to a string in Python 3,0.8576,0.7861,0.8203
22,What is the difference between __str__ and __repr__?,0.8088,0.8173,0.813
23,How do I select rows from a DataFrame based on column values?,0.8203,0.8297,0.8249
24,How can I add new keys to a dictionary?,0.8731,0.815,0.8431
25,Does Python have a string 'contains' substring method?,0.8421,0.761,0.7995
26,How can I delete a file or folder in Python?,0.8759,0.7945,0.8332
27,"""Least Astonishment"" and the Mutable Default Argument",0.8262,0.7645,0.7941
28,What does ** (double star/asterisk) and * (star/asterisk) do for parameters?,0.8565,0.8558,0.8561
29,How do I list all files of a directory?,0.8714,0.8282,0.8493
30,How can I access environment variables in Python?,0.8704,0.8092,0.8387
31,How do I sort a dictionary by value?,0.8618,0.8472,0.8544
32,How do I clone a list so that it doesn't change unexpectedly after assignment?,0.8395,0.847,0.8432
33,How do I pass a variable by reference?,0.8308,0.8286,0.8297
34,How do I print colored text to the terminal?,0.8294,0.8465,0.8378
35,Manually raising (throwing) an exception in Python,0.8145,0.815,0.8148
36,Understanding Python super() with __init__() methods,0.8494,0.7941,0.8208
37,How do I make a time delay?,0.8671,0.7979,0.8311
38,How do I change the size of figures drawn with Matplotlib?,0.8683,0.812,0.8392
39,How do I concatenate two lists in Python?,0.8823,0.836,0.8585
40,How do I check if a list is empty?,0.8777,0.7907,0.8319
41,How do I make function decorators and chain them together,0.8113,0.8041,0.8077
42,How do I split a list into equally-sized chunks?,0.8824,0.8413,0.8614
43,Find the current directory and file's directory,0.8576,0.8262,0.8416
44,What is the difference between Python's list methods append and extend?,0.8833,0.8116,0.8459
45,Renaming column names in Pandas,0.853,0.8561,0.8546
46,"Why is ""1000000000000000 in range(1000000000000001)"" so fast in Python 3?",0.8319,0.83,0.8309
