id,question,bert_precision,bert_recall,bert_F1
1,"What does the ""yield"" keyword do in Python?",0.7981,0.85,0.8232
2,"What does if __name__ == ""__main__"": do?",0.8168,0.8643,0.8399
3,Does Python have a ternary conditional operator?,0.811,0.8603,0.835
4,What are metaclasses in Python?,0.8249,0.8276,0.8262
5,How do I check whether a file exists without exceptions?,0.8575,0.8671,0.8623
6,How do I merge two dictionaries in a single expression in Python?,0.8273,0.8507,0.8388
7,How do I execute a program or call a system command?,0.8632,0.825,0.8437
8,"How do I create a directory, and any missing parent directories?",0.8344,0.8621,0.848
9,How can I access the index value in a 'for' loop?,0.8704,0.8188,0.8438
10,How do I make a flat list out of a list of lists?,0.8111,0.8406,0.8256
11,What is the difference between @staticmethod and @classmethod in Python?,0.8271,0.8313,0.8292
12,How slicing in Python works,0.8311,0.8428,0.8369
13,How can I find the index for a given item in a list?,0.8279,0.8732,0.8499
14,"Iterating over a dictionary using a 'for' loop, getting keys",0.8552,0.8433,0.8492
15,How can I iterate over rows in a Pandas DataFrame?,0.8362,0.8317,0.834
16,How can I use a global variable in a function?,0.8522,0.8551,0.8536
17,How do I get the current time in Python?,0.8293,0.8385,0.8338
18,"How can I catch multiple exceptions in one line? (in the ""except"" block)",0.8394,0.8269,0.8331
19,How do I copy a file?,0.8654,0.8786,0.872
20,What is __init__.py for?,0.8604,0.8727,0.8665
21,Convert bytes to a string in Python 3,0.8737,0.8363,0.8546
22,What is the difference between __str__ and __repr__?,0.8113,0.8242,0.8177
23,How do I select rows from a DataFrame based on column values?,0.8245,0.8501,0.8371
24,How can I add new keys to a dictionary?,0.866,0.8434,0.8546
25,Does Python have a string 'contains' substring method?,0.8338,0.8101,0.8218
26,How can I delete a file or folder in Python?,0.8726,0.8302,0.8509
27,"Least Astonishment"" and the Mutable Default Argument",0.834,0.8094,0.8215
28,What does ** (double star/asterisk) and * (star/asterisk) do for parameters?,0.8493,0.8442,0.8467
29,How do I list all files of a directory?,0.8569,0.8321,0.8443
30,How can I access environment variables in Python?,0.8704,0.8501,0.8601
31,How do I sort a dictionary by value?,0.8416,0.8649,0.8531
32,How do I clone a list so that it doesn't change unexpectedly after assignment?,0.8417,0.8591,0.8503
33,How do I pass a variable by reference?,0.8116,0.8436,0.8273
34,How do I print colored text to the terminal?,0.8224,0.8234,0.8229
35,Manually raising (throwing) an exception in Python,0.8021,0.8428,0.822
36,Understanding Python super() with __init__() methods,0.8438,0.8156,0.8295
37,How do I make a time delay?,0.8702,0.822,0.8454
